1,Hi @HeartAust @HeartVIC @Heart_SA @HeartQLD @HeartNSW - which state has the most active walkers? 2.2m walks is a superb effort.
1,RT @MedibankCF: Hi @HeartAust @HeartVIC @Heart_SA @HeartQLD @HeartNSW - which state has the most active walkers? 2.2m walks is a superb  ...
1,Did you know @HeartAust Walking Groups are not only about #healthy_living but also #community_connectedness? http://goo.gl/fXJES
1,@HeartAust Thanks for the support! Stay tuned for more details of our launch event on the 27th of May!
1,V impressed #City2Surf is my limit! RT @HeartAust: Good luck to fantastic runners in Team Heart Foundation at London #Marathon today! #VLM
1,RT @HeartAust: Everyone loves Hot Cross Buns at #Easter time - try this delicious healthier version from the Heart Foundation http://on ...
1,Hi @HeartQLD that's a superb effort. We're looking forward to hearing more from @HeartAust with Heart Week next week.
1,@HeartAust has plenty of tips for tackling common excuses for avoiding regular exercise: Walking tips http://t.co/12Lavyz via @AddThis
1,this week is Heart Week here in Australia! The #1 killer of Aussie women is #heartdisease! TGI and @HeartNZ @HeartAust are changing that!
1,RT @HeartAust: Latest ABS stats show #HeartDisease still no1 killer in Australia and kills 1100 people 25-54 every year double of road ...
1,ONe great event later this month is Walk Safely to School Day supported by our flagship partner @HeartAust - THE EVENT http://goo.gl/KIuVf
1,National Walk Safely to School Day http://bit.ly/lK3nXK - a very worthy cause - is supported by our flagship partner @HeartAust
1,RT @HeartAust: Happy #MothersDay! Good news you can look after mum's #heart by sending her #shopping! It means less time sitting and mo ...
1,RT @HeartAust: Simple changes make a big difference to your #HeartHealth. Register for our free 10-week Healthy Heart Challenge http://t ...
1,Refining my dietitian brain... adding knowledge from @HeartAust website. There are easy (and not so easy) to read documents.
1,Don't forget to get involved in Walk Safely to School Day Fri 20 May. Sponsored by @HeartAust. Check it out at http://bit.ly/lpEegX
1,RT @HeartAust: @WWAusWomen @Womenonboards @SuziDafnis #HeartDisease is women's no1 killer-join the free Healthy Heart Challenge http://b ...
1,RT @HeartAust: Pure spin! RT @7pmproject:Have you heard the latest threat from tobacco companies to try to stop plain packaging? http:// ...
1,RT @HeartAust: 90% of women have at least 1 risk factor for #HeartDisease. Grab a friend and join the Healthy Heart Challenge at http:// ...
1,Posted our #100communityheroes album on Fb check it out here http://t.co/xDTfxRFcP3 @ABarrMLA @GaiBrodtmannMP @HeartAust @CANBERRA_PCYC
1,RT @lisneubeck: Great resource! HEARTonline education toolkit http://t.co/1Ss8UAjH8x @ACRA_ACRA @acncconference @HeartAust @thecsanz @georg…
1,30% of cardiac patients are referred to cardiac rehab (CR). And only 12% complete CR. There is a need for innovative CR delivery! @HeartAust
1,“@HeartAust: “@HTVHealthChamps: Walk yourself happy &amp; healthy with a @HeartAust free walking group http://t.co/xNn551WsGr” gd idea!” Angio
1,In Italy 65.2 in 100k people die of heart disease proceeds from the Men with Heart Gala Dinner go to @HeartAust see: http://t.co/XWPDu3yY2o
1,The #DiabetesWA team are having fun at the halfway point for the 12K!! Love the mascot @HeartAust ;) #hbfrun @HBF_WA http://t.co/Vgt5rTdgtp
1,RT @DiabetesWA: The #DiabetesWA team are having fun at the halfway point for the 12K!! Love the mascot @HeartAust ;) #hbfrun @HBF_WA http:/…
1,"@DiabetesWA awesome! ""The #DiabetesWA team are having fun at the halfway point for the 12K!! Love the mascot @HeartAust ;) #hbfrun"""
1,getting ready for the city2south run in a few weeks getting ready for my half marathon in July #excited @HeartAust http://t.co/kNoZoeedkK
1,RT @HeartAust: “@BecOhlwein: getting ready for the city2south run in a few weeks half marathon in July @HeartAust http://t.co/s15RLilwzS” g…
1,@HeartAust  Take the Change Challenge…see how you go ... http://t.co/DVl9VqtHmZ
1,RT @HeartAust: Good work all of you who are taking part in Ride2Work day today! We wish you all good weather.
1,RT @HeartAust: Hands up who rode to work for #Ride2Work Day today?
1,Heart attacks can be different for women. Kerry Doyle of @HeartAust explains what to watch out for with the viewa app &amp; our Nov magazine.
1,@HeartAust I TOLD MY BOSS I WAS LOST AND GOT A FLAT TYRE ONCE BUT REALLY I JUST STOPPED FOR A COFFE LOL #RIDE2WORK
1,RT @HeartAust: It's #CharityWeds today - we'd like to recognise the @bicycle_network who are behind #Ride2Work Day today.
1,Thanks to everyone for voting and helping us support the @HeartAust keep it up!! Back in the studio already.. Rocking it up for rock week!
1,@HeartAust not today too tired; but I did wake at 4:45am yesterday for Boot Camp. #Ride2Work
1,Excited for Chalk &amp; Cheese tonight with Prof Arne Astrup from @uni_copenhagen and @uowresearch @Monash_FMNHS @HeartAust @Dairy_Australia
1,RT @HeartAust: Today is World Food Day - here are some great ideas to celebrate and be healthy: http://t.co/imP90eCxBo
1,RT @RMLaCroix: Excited for Chalk &amp; Cheese tonight with Prof Arne Astrup from @uni_copenhagen and @uowresearch @Monash_FMNHS @HeartAust @Dai…
1,Dr Robert Grenfell of @HeartAust: when you go past the food and look at the make-up of a person things get even more complex!
1,RT @HeartAust: Tks to @Dairy_Australia &amp; #NSA for @HeartAust to speak at  chalk &amp; cheese 2nite w @uni_copenhagen
1,"RT @HeartAust: “@NutritionAust: @HeartAust's Dr Grenfell: We're getting fatter by putting to much food in our mouths. Must address this."""
